organization,account,operation,asset,anch_val,non_anch_val
Electric Sheep,ES Capital Fund,Delegation,ETH,160.47,0.00
Moon Enterprises,ME Venture Fund,Staking,ROSE,0.00,168.68
Moon Enterprises,ME Venture Fund,Delegation,EVMOS,151.52,0.00
Electric Sheep,ES Capital Fund,Delegation,ROSE,0.00,146.89
Electric Sheep,ES Venture Fund,Staking,SEI,120.32,0.00
Moon Enterprises,ME Venture Fund,Staking,OSMO,0.00,129.71
Electric Sheep,ES Capital Fund,Delegation,SUI,152.38,0.00
Electric Sheep,ES Capital Fund,Delegation,ROSE,0.00,107.95
Moon Enterprises,ME Venture Fund,Delegation,OSMO,117.33,0.00
Moon Enterprises,ME Venture Fund,Delegation,ROSE,0.00,153.06
Moon Enterprises,ME Capital Fund,Delegation,FLOW,188.05,0.00
Firetronics,FT Venture Fund,Delegation,AXL,0.00,107.43
Electric Sheep,ES Capital Fund,Staking,ETH,193.28,0.00
Firetronics,FT Venture Fund,Delegation,APT,0.00,142.84
Electric Sheep,ES Venture Fund,Staking,ATOM,109.08,0.00
Moon Enterprises,ME Capital Fund,Staking,EVMOS,0.00,169.08
Electric Sheep,ES Capital Fund,Delegation,ETH,175.58,0.00
Firetronics,FT Capital Fund,Delegation,SOL,0.00,132.21
Moon Enterprises,ME Venture Fund,Delegation,CELO,162.27,0.00
Electric Sheep,ES Capital Fund,Delegation,OSMO,0.00,123.88
Moon Enterprises,ME Capital Fund,Delegation,SEI,143.49,0.00
Moon Enterprises,ME Capital Fund,Staking,SOL,0.00,183.05
Moon Enterprises,ME Capital Fund,Staking,ETH,160.40,0.00
Firetronics,FT Capital Fund,Delegation,ROSE,0.00,191.58
Moon Enterprises,ME Capital Fund,Delegation,CELO,145.84,0.00
Firetronics,FT Venture Fund,Delegation,SUI,0.00,164.18
Electric Sheep,ES Capital Fund,Staking,HASH,169.38,0.00
Firetronics,FT Venture Fund,Staking,CELO,0.00,129.40
Firetronics,FT Venture Fund,Staking,AXL,123.18,0.00
Firetronics,FT Venture Fund,Delegation,SOL,0.00,139.22
Moon Enterprises,ME Venture Fund,Staking,SEI,141.18,0.00
Electric Sheep,ES Venture Fund,Staking,ROSE,0.00,110.74
Electric Sheep,ES Venture Fund,Staking,SUI,173.98,0.00
Electric Sheep,ES Venture Fund,Delegation,ATOM,0.00,115.18
Electric Sheep,ES Capital Fund,Staking,CELO,132.26,0.00
Moon Enterprises,ME Capital Fund,Delegation,FLOW,0.00,165.30
Electric Sheep,ES Venture Fund,Delegation,AXL,101.28,0.00
Electric Sheep,ES Venture Fund,Delegation,OSMO,0.00,134.77
Firetronics,FT Capital Fund,Staking,OSMO,140.21,0.00
Firetronics,FT Venture Fund,Staking,HASH,0.00,170.03
Electric Sheep,ES Capital Fund,Delegation,ATOM,178.08,0.00
Firetronics,FT Venture Fund,Delegation,SEI,0.00,184.86
Electric Sheep,ES Capital Fund,Staking,ETH,109.30,0.00
